prediction,new_rank,new_score,facts,new_scores,#facts,original_rank,new_ranks,original_score
"(6394, 8, 7427)",2.0,2.2965188,"[([(6394, 3, 479), (14330, 3, 479), (14330, 8, 7427)], 2.9199, 'xrule'), ([(9956, 8, 7427), (6394, 4, 66), (9956, 4, 66)], 2.8172998, 'xrule'), ([(9956, 8, 7427), (6394, 3, 40), (9956, 3, 40)], 2.1734, 'xrule'), ([(24887, 3, 40), (24887, 8, 7427), (6394, 3, 40)], 0.9630995, 'xrule'), ([(9818, 4, 66), (9818, 8, 7427), (6394, 4, 66)], 0.7765999, 'xrule'), ([(14330, 4, 66), (6394, 4, 66), (14330, 8, 7427)], 0.54730034, 'xrule'), ([(24887, 3, 479), (6394, 3, 479), (24887, 8, 7427)], 0.51159954, 'xrule'), ([(6394, 2, 68)], 0.4573879663059996, -0.3876056634722198), ([(9818, 3, 40), (9818, 8, 7427), (6394, 3, 40)], -0.1796999, 'xrule'), ([(23793, 3, 40), (23793, 8, 7427), (6394, 3, 40)], -0.3491001, 'xrule'), ([(9818, 3, 479), (9818, 8, 7427), (6394, 3, 479)], -1.3358002, 'xrule')]","[2.1403785, 2.4526591]",11,1,"[1, 3]",3.8982012
"(7426, 11, 7956)",1.0,3.4094198,"[([(7426, 2, 30)], 2.201773278195256, 11623.90040862886), ([(7426, 8, 7429), (25242, 11, 7956), (25242, 8, 7429)], 0.74349976, 'xrule'), ([(25242, 2, 31), (7426, 2, 31), (25242, 11, 7956)], -0.0017004013, 'xrule'), ([(25242, 3, 277), (7426, 3, 277), (25242, 11, 7956)], -1.2024002, 'xrule'), ([(25242, 3, 40), (25242, 11, 7956), (7426, 3, 40)], -2.1855001, 'xrule'), ([(25242, 3, 276), (25242, 11, 7956), (7426, 3, 276)], -2.8528004, 'xrule'), ([(21498, 8, 7429), (7426, 8, 7429), (21498, 11, 7956)], -2.9969006, 'xrule'), ([(25242, 3, 185), (7426, 3, 185), (25242, 11, 7956)], -3.3773003, 'xrule'), ([(21498, 11, 7956), (7426, 2, 30), (21498, 2, 30)], -3.5517998, 'xrule'), ([(25242, 2, 30), (7426, 2, 30), (25242, 11, 7956)], -4.2243004, 'xrule'), ([(21498, 11, 7956), (21498, 2, 31), (7426, 2, 31)], -4.7876997, 'xrule')]","[2.944943, 3.8738966]",11,3,"[1, 1]",3.2648082
"(5770, 8, 7410)",1.0,2.3554173,"[([(5770, 2, 30)], 1.588113855743425, 1.8303505602865613)]","[2.266116, 2.4447184]",1,3,"[1, 1]",5.424654
"(7655, 11, 7956)",1.0,2.983667,"[([(7655, 3, 9)], 0.8869762904884178, 18556.708265781166), ([(7655, 2, 31), (25559, 11, 7956), (25559, 2, 31)], 0.44979954, 'xrule'), ([(16511, 11, 7956), (16511, 3, 39), (7655, 3, 39)], 0.15549946, 'xrule'), ([(22481, 3, 10), (22481, 11, 7956), (7655, 3, 10)], 0.107299805, 'xrule'), ([(25559, 3, 10), (25559, 11, 7956), (7655, 3, 10)], -0.81519985, 'xrule'), ([(14940, 11, 7956), (14940, 3, 10), (7655, 3, 10)], -1.2143002, 'xrule'), ([(8826, 3, 10), (8826, 11, 7956), (7655, 3, 10)], -1.3249998, 'xrule'), ([(7655, 2, 31), (16511, 11, 7956), (16511, 2, 31)], -1.3661003, 'xrule'), ([(19983, 11, 7956), (19983, 3, 10), (7655, 3, 10)], -1.5165005, 'xrule'), ([(16511, 11, 7956), (16511, 3, 10), (7655, 3, 10)], -1.6265001, 'xrule'), ([(10373, 11, 7956), (10373, 3, 10), (7655, 3, 10)], -2.7925997, 'xrule')]","[2.366025, 3.6013088]",11,3,"[1, 1]",2.9549463
"(6504, 10, 7830)",1.0,2.947152,"[([(6504, 1, 65)], -1.224679889931442, 2743.227113915637)]","[2.791421, 3.1028829]",1,5,"[1, 1]",3.9476411
"(6492, 8, 7393)",2.0,2.3649898,"[([(10833, 3, 40), (10833, 8, 7393), (6492, 3, 40)], 1.6278, 'xrule'), ([(10833, 3, 78), (10833, 8, 7393), (6492, 3, 78)], 0.9705, 'xrule'), ([(10833, 2, 68), (6492, 2, 68), (10833, 8, 7393)], 0.84030056, 'xrule'), ([(14846, 8, 7393), (14846, 3, 78), (6492, 3, 78)], -0.3217001, 'xrule'), ([(6492, 3, 3448)], -0.6260633028228856, 2.3484036969624276), ([(23889, 3, 78), (23889, 8, 7393), (6492, 3, 78)], -1.3470001, 'xrule'), ([(23889, 2, 68), (6492, 2, 68), (23889, 8, 7393)], -1.7567997, 'xrule'), ([(25131, 8, 7393), (25131, 3, 40), (6492, 3, 40)], -1.8900995, 'xrule'), ([(23889, 3, 40), (23889, 8, 7393), (6492, 3, 40)], -2.4694996, 'xrule'), ([(25131, 2, 30), (25131, 8, 7393), (6492, 2, 30)], -3.4968996, 'xrule'), ([(14846, 8, 7393), (6492, 2, 68), (14846, 2, 68)], -4.415, 'xrule')]","[2.2594435, 2.4705362]",11,5,"[3, 1]",5.3959875
"(6383, 11, 7956)",1.0,2.97515,"[([(6383, 3, 78), (13441, 11, 7956), (13441, 3, 78)], 1.3898001, 'xrule'), ([(6383, 3, 10), (13441, 3, 10), (13441, 11, 7956)], 1.2783003, 'xrule'), ([(8476, 11, 7956), (8476, 3, 733), (6383, 3, 733)], 1.1220007, 'xrule'), ([(11145, 11, 7956), (6383, 3, 39), (11145, 3, 39)], 0.8361006, 'xrule'), ([(6383, 3, 730)], 0.3740253862379787, 2780.5924312843918), ([(11145, 11, 7956), (6383, 3, 748), (11145, 3, 748)], -0.024499893, 'xrule'), ([(9020, 11, 7956), (6383, 3, 39), (9020, 3, 39)], -0.65180016, 'xrule'), ([(11145, 3, 6), (11145, 11, 7956), (6383, 3, 6)], -0.89900017, 'xrule'), ([(6383, 3, 39), (13441, 3, 39), (13441, 11, 7956)], -1.3814993, 'xrule'), ([(6383, 3, 6), (13012, 3, 6), (13012, 11, 7956)], -1.4081001, 'xrule'), ([(6383, 3, 39), (8476, 3, 39), (8476, 11, 7956)], -2.1159, 'xrule'), ([(6383, 3, 39), (13012, 3, 39), (13012, 11, 7956)], -2.5538998, 'xrule')]","[2.3803139, 3.5699863]",12,2,"[1, 1]",2.6421046
"(5558, 8, 7410)",1.0,2.6793418,"[([(13505, 8, 7410), (5558, 3, 10), (13505, 3, 10)], -0.032299995, 'xrule'), ([(25680, 3, 10), (5558, 3, 10), (25680, 8, 7410)], -0.15229988, 'xrule'), ([(25680, 3, 220), (25680, 8, 7410), (5558, 3, 220)], -0.45219994, 'xrule'), ([(9221, 8, 7410), (5558, 3, 10), (9221, 3, 10)], -0.50619984, 'xrule'), ([(14554, 3, 479), (14554, 8, 7410), (5558, 3, 479)], -1.0328999, 'xrule'), ([(23922, 8, 7410), (5558, 3, 10), (23922, 3, 10)], -1.1925001, 'xrule'), ([(21297, 3, 220), (21297, 8, 7410), (5558, 3, 220)], -1.5994005, 'xrule'), ([(14554, 8, 7410), (5558, 3, 10), (14554, 3, 10)], -1.8429003, 'xrule'), ([(5558, 3, 630)], -2.6897285688518737, 3.0635821672871604), ([(25680, 3, 479), (25680, 8, 7410), (5558, 3, 479)], -2.8978004, 'xrule'), ([(13505, 3, 220), (13505, 8, 7410), (5558, 3, 220)], -3.5419998, 'xrule')]","[2.7051823, 2.6535015]",11,4,"[1, 1]",5.885943
"(7628, 12, 8676)",1.0,3.997437,"[([(7628, 8, 7408)], 0.0649185580923719, 11963.516223932053)]","[4.5816016, 3.4132724]",1,3,"[1, 1]",2.6512852
"(6205, 10, 7830)",1.0,3.0548894,"[([(8704, 10, 7830), (8704, 2, 30), (6205, 2, 30)], 2.9680004, 'xrule'), ([(14544, 2, 30), (14544, 10, 7830), (6205, 2, 30)], 2.9119997, 'xrule'), ([(8704, 10, 7830), (6205, 3, 9), (8704, 3, 9)], 2.717, 'xrule'), ([(9426, 2, 30), (9426, 10, 7830), (6205, 2, 30)], 1.9278002, 'xrule'), ([(6205, 2, 709), (14544, 2, 709), (14544, 10, 7830)], 1.6576004, 'xrule'), ([(6205, 3, 9), (14544, 3, 9), (14544, 10, 7830)], 1.6412001, 'xrule'), ([(6205, 3, 184)], 1.4285307571442347, 10.806672277487017), ([(23848, 2, 30), (6205, 2, 30), (23848, 10, 7830)], 1.2203999, 'xrule'), ([(9426, 3, 9), (9426, 10, 7830), (6205, 3, 9)], 1.1391001, 'xrule'), ([(6205, 3, 9), (23848, 10, 7830), (23848, 3, 9)], 0.16870022, 'xrule'), ([(19941, 10, 7830), (6205, 2, 30), (19941, 2, 30)], -0.23659992, 'xrule')]","[2.807849, 3.30193]",11,5,"[1, 1]",3.9084363
"(7201, 8, 7410)",1.0,2.376443,"[([(7201, 2, 4111)], -0.6536016020027997, 22263.34217837412), ([(7922, 3, 7), (7201, 3, 7), (7922, 8, 7410)], -1.1698008, 'xrule'), ([(23950, 8, 7410), (23950, 3, 7), (7201, 3, 7)], -2.1532001, 'xrule'), ([(7201, 3, 7), (24786, 8, 7410), (24786, 3, 7)], -2.3722, 'xrule'), ([(7201, 3, 4), (24472, 8, 7410), (24472, 3, 4)], -2.4872007, 'xrule'), ([(18504, 8, 7410), (18504, 3, 7), (7201, 3, 7)], -2.6687002, 'xrule'), ([(24472, 8, 7410), (24472, 3, 7), (7201, 3, 7)], -3.5246, 'xrule'), ([(16852, 3, 7), (7201, 3, 7), (16852, 8, 7410)], -3.573, 'xrule')]","[2.2738123, 2.4790735]",8,2,"[1, 1]",4.1836443
"(4952, 11, 7869)",2.0,3.1501198,"[([(13631, 3, 75), (4952, 3, 75), (13631, 11, 7869)], 1.0051003, 'xrule'), ([(12158, 3, 75), (4952, 3, 75), (12158, 11, 7869)], 0.3345995, 'xrule'), ([(4952, 3, 4958)], -0.18243499538451377, 9.454517319423267), ([(4952, 3, 75), (9970, 11, 7869), (9970, 3, 75)], -0.45149994, 'xrule')]","[2.544015, 3.7562249]",4,3,"[1, 3]",3.7838056
